City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,segezha,63.7415,34.3222,-8.69,97,96,2.09,RU,1709763879
217,nizhnyaya poyma,56.1622,97.1933,-12.58,95,78,1.46,RU,1709763880
218,funadhoo,6.15,73.2667,27.83,72,8,3.81,MV,1709763881
219,malakwal city,32.5549,73.2122,14.67,44,100,2.8,PK,1709763881
220,cidreira,-30.1811,-50.2056,21.29,67,7,3.81,BR,1709763881
221,igarka,67.4667,86.5833,-14.85,93,98,6.4,RU,1709763882
222,castuera,38.732,-5.5439,8.38,66,100,2.88,ES,1709763882
223,san patricio,28.017,-97.5169,27.4,60,70,6.57,US,1709763882
224,laayoune,27.1622,-13.2032,17.19,88,40,7.72,EH,1709763883
225,caleta de carquin,-11.0925,-77.6267,25.37,71,96,4.4,PE,1709763883
226,iranduba,-3.2847,-60.1861,32.16,70,84,1.57,BR,1709763883
227,utrik,11.2278,169.8474,26.37,82,84,10.38,MH,1709763884
228,longyearbyen,78.2186,15.6401,-6.09,63,0,1.03,SJ,1709763884
229,fale old settlement,-9.3852,-171.2468,28.74,75,9,3.15,TK,1709763885
230,carnarvon,-24.8667,113.6333,30.34,57,51,5.84,AU,1709763885
231,sungai raya,0.7,108.9,25.32,92,100,1.73,ID,1709763885
232,lihue,21.9789,-159.3672,27.58,62,20,9.26,US,1709763749
233,sirte,31.2089,16.5887,15.5,69,98,2.82,LY,1709763886
234,flying fish cove,-10.4217,105.6791,25.82,100,100,1.03,CX,1709763886
235,ghat,24.9647,10.1728,19.81,23,0,3.57,LY,1709763887
236,pandan,14.0453,124.1694,24.56,84,25,2.17,PH,1709763887
237,kristiansund,63.1115,7.732,2.36,69,2,1.54,NO,1709763888
238,phek,25.6667,94.5,3.56,55,0,0.71,IN,1709763888
239,kapuskasing,49.4169,-82.4331,0.05,37,0,3.6,CA,1709763888
240,plouzane,48.3833,-4.6167,9.03,93,20,4.63,FR,1709763889
241,wynne,35.2245,-90.7868,18.55,59,37,2.54,US,1709763889
242,lorengau,-2.0226,147.2712,27.77,85,96,1.33,PG,1709763890
243,villazon,-22.0866,-65.5942,16.79,54,92,5.85,BO,1709763890
244,chardara,41.2547,67.9692,8.43,60,99,3.76,KZ,1709763890
245,buala,-8.145,159.5921,28.07,81,99,1.23,SB,1709763890
246,bamboo flat,11.7,92.7167,22.05,94,100,0.51,IN,1709763891
247,lodja,-3.4833,23.4333,21.55,83,31,1.18,CD,1709763891
248,weno,7.4515,151.8468,28.97,79,20,4.63,FM,1709763891
